op,star,end,delta
712,1536.288000,1538.143000,1.855000
713,1543.229000,1544.732000,1.503000
714,1549.300000,1550.875000,1.575000
715,1555.610000,1557.178000,1.568000
716,1561.784000,1563.347000,1.563000
717,1568.070000,1569.636000,1.566000
718,1574.626000,1576.555000,1.929000
719,1581.163000,1582.798000,1.635000
720,1587.552000,1589.230000,1.678000
721,1593.900000,1595.626000,1.726000
722,1600.322000,1601.910000,1.588000
723,1606.956000,1609.143000,2.187000
724,1614.043000,1615.746000,1.703000
725,1620.938000,1622.627000,1.689000
726,1627.524000,1629.089000,1.565000
727,1633.904000,1635.582000,1.678000
728,1640.689000,1642.813000,2.124000
729,1647.803000,1649.488000,1.685000
730,1654.305000,1656.049000,1.744000
731,1661.555000,1663.270000,1.715000
732,1668.403000,1670.037000,1.634000
733,1674.930000,1676.679000,1.749000
734,1681.490000,1683.235000,1.745000
735,1688.170000,1690.135000,1.965000
736,1695.567000,1697.160000,1.593000
737,1702.142000,1703.849000,1.707000
738,1708.914000,1710.536000,1.622000
739,1715.467000,1717.163000,1.696000
740,1722.508000,1724.181000,1.673000
741,1729.657000,1731.340000,1.683000
742,1736.412000,1738.127000,1.715000
743,1743.121000,1744.793000,1.672000
744,1749.922000,1751.678000,1.756000
745,1756.929000,1759.201000,2.272000
746,1764.351000,1766.110000,1.759000
747,1771.097000,1773.031000,1.934000
748,1778.049000,1779.755000,1.706000
749,1784.894000,1786.613000,1.719000
750,1792.405000,1794.200000,1.795000
751,1799.506000,1801.274000,1.768000
752,1806.463000,1808.163000,1.700000
753,1813.382000,1815.116000,1.734000
754,1820.366000,1822.345000,1.979000
755,1827.941000,1829.619000,1.678000
756,1834.804000,1836.621000,1.817000
757,1841.762000,1843.691000,1.929000
758,1848.837000,1850.596000,1.759000
759,1856.153000,1858.031000,1.878000
760,1863.820000,1865.640000,1.820000
761,1870.859000,1872.975000,2.116000
762,1878.898000,1880.677000,1.779000
763,1886.056000,1887.834000,1.778000
764,1893.484000,1895.406000,1.922000
765,1900.811000,1902.621000,1.810000
766,1909.045000,1910.892000,1.847000
767,1916.413000,1918.217000,1.804000
768,1923.751000,1925.556000,1.805000
769,1930.742000,1932.627000,1.885000
770,1938.344000,1940.146000,1.802000
771,1945.944000,1947.772000,1.828000
772,1953.204000,1955.204000,2.000000
773,1960.604000,1962.390000,1.786000
774,1967.960000,1969.838000,1.878000
775,1975.869000,1977.790000,1.921000
776,1983.263000,1985.105000,1.842000
777,1990.622000,1992.550000,1.928000
778,1998.048000,1999.995000,1.947000
779,2006.305000,2008.308000,2.003000
780,2014.207000,2016.125000,1.918000
781,2021.652000,2023.469000,1.817000
782,2028.978000,2030.782000,1.804000
783,2036.380000,2038.521000,2.141000
784,2044.654000,2046.456000,1.802000
785,2052.134000,2054.227000,2.093000
786,2060.298000,2062.215000,1.917000
787,2068.083000,2070.056000,1.973000
788,2076.500000,2078.360000,1.860000
789,2084.115000,2086.018000,1.903000
790,2092.410000,2094.382000,1.972000
791,2100.236000,2102.205000,1.969000
792,2108.282000,2110.350000,2.068000
793,2116.231000,2118.152000,1.921000
794,2124.612000,2127.044000,2.432000
795,2132.736000,2134.702000,1.966000
796,2140.580000,2142.606000,2.026000
797,2148.284000,2150.316000,2.032000
798,2156.332000,2158.715000,2.383000
799,2164.776000,2166.783000,2.007000
